VELO-X,VELO-Y,VELO-Z,DFT321
-0.02,-0.02,-0.73,-32.99244459
-0.01,-0.01,-0.75,-18.62290257
-0.01,-0.01,-0.75,69.3990353
-0.01,-0.01,-0.75,26.14753143
-0.01,-0.01,-0.75,49.40540659
-0.01,0,-0.77,21.48421979
-0.01,0,-0.77,26.22649996
-0.01,0,-0.77,-25.52044083
-0.01,0,-0.77,11.29196174
-0.01,0,-0.77,-17.4078287
-0.01,0,-0.77,44.74616632
-0.01,0,-0.77,-29.33229108
0.01,-0.01,-0.79,41.07145481
0.01,-0.01,-0.79,49.45365608
0.01,-0.01,-0.79,-38.88877859
0.01,-0.01,-0.79,24.0739465
0.06,-0.02,-0.8,11.58914578
0.06,-0.02,-0.82,40.31948164
0.06,-0.02,-0.82,34.57715142
0.06,-0.02,-0.82,-29.71791715
0.06,-0.02,-0.82,52.13896528
0.06,-0.02,-0.82,20.41012494
0.06,-0.02,-0.82,52.43982551
0.06,-0.02,-0.82,-26.63120538
0.06,-0.02,-0.82,22.81476276
0.06,-0.02,-0.82,-16.72928271
0.07,-0.01,-0.83,14.44984083
0.07,-0.01,-0.83,-20.64884743
0.07,-0.01,-0.83,39.14489366
0.07,-0.01,-0.83,-13.79260672
0.07,-0.01,-0.83,18.7697123
0.07,-0.01,-0.83,43.17159599
0.07,-0.01,-0.83,10.4779435
0.07,-0.01,-0.83,-20.43315443
0.07,-0.01,-0.83,-26.26972783
0.07,-0.01,-0.83,18.83239231
0.07,-0.01,-0.83,28.98292428
0.07,-0.01,-0.83,8.624813041
0.07,-0.01,-0.83,-25.43087297
0.07,-0.01,-0.83,32.76089284
0.07,-0.01,-0.83,-18.86385433
0.15,-0.03,-0.84,18.56480811
0.15,-0.03,-0.84,-18.13326777
0.15,-0.03,-0.84,93.64624766
0.15,-0.03,-0.84,106.3650812
0.15,-0.03,-0.84,54.57446014
0.15,-0.03,-0.84,10.71257205
0.15,-0.03,-0.84,-14.56462839
0.15,-0.03,-0.84,-21.94187321
0.15,-0.03,-0.84,-16.28302183
0.15,-0.03,-0.84,29.97676434
0.15,-0.03,-0.84,-44.88391583
0.15,-0.03,-0.84,18.29485173
0.15,-0.03,-0.84,10.69633582
0.15,0,-0.87,15.32843436
0.19,0,-0.85,-12.72593022
0.19,0,-0.85,33.72027432
0.19,0,-0.85,9.663027476
0.19,0,-0.85,-19.10219883
0.19,0,-0.85,26.25637637
0.19,0,-0.85,17.69023459
0.19,0,-0.85,23.34751807
0.19,0,-0.85,-38.10779185
0.19,0,-0.85,55.57545681
0.22,-0.01,-0.85,34.36357519
0.22,-0.01,-0.85,19.14645659
0.22,-0.01,-0.85,11.42534026
0.22,-0.01,-0.85,11.53664163
0.25,0.01,-0.85,94.5992315
